Код подразделения,Название подразделения,Код родителя
АП.2.9.7.1,Отдел клиентского сервиса,АП.2.9.7
АП.2.9.7,Управление по клиентскому сервису,АП.2.9
АП.2.9.6.8,Группа аналитики,АП.2.9.6
АП.2.9.6.1,Группа координации съемочного процесса,АП.2.9.6
АП.2.9.6.4,Отдел контента,АП.2.9.6
АП.2.9.6.7,Отдел контроля качества,АП.2.9.6
АП.2.9.6.5,Отдел контроля товародвижения,АП.2.9.6
АП.2.9.6.2,Отдел ретуши и цветокоррекции,АП.2.9.6
АП.2.9.6.9,Отдел складских операций фотостудии,АП.2.9.6
АП.2.9.6.6,Отдел складского хранения и подготовки товара,АП.2.9.6
АП.2.9.6.3,Отдел фото и видеосъёмки,АП.2.9.6
АП.2.9.6,Управление продакшн,АП.2.9
АП.3.2,Департамент информационных технологий,АП.3
АП.3.2.6,Отдел автоматизации операционной деятельности,АП.3.2
АП.3.2.11.1,Группа аналитической отчетности,АП.3.2.11
АП.3.2.11,Отдел автоматизации процессов управления персоналом,АП.3.2
АП.3.2.7,Отдел автоматизации финансовых процессов,АП.3.2
АП.3.2.9,Отдел проектных решений,АП.3.2
АП.3.2.10,Отдел разработки и внедрения бухгалтерских систем,АП.3.2
АП.3.2.5.2.1,Группа инновационных решений,АП.3.2.5.2
АП.3.2.5.2.2,Группа складской логистики,АП.3.2.5.2
АП.3.2.5.2,Отдел автоматизации складских процессов,АП.3.2.5
АП.3.2.5.1.1,Группа мобильной разработки,АП.3.2.5.1
АП.3.2.5.1.2,Группа разработки базовых решений,АП.3.2.5.1
АП.3.2.5.1,Отдел разработки складских решений,АП.3.2.5
АП.3.2.5.3.1,Группа поддержки складских решений,АП.3.2.5.3
АП.3.2.5.3,Отдел сопровождения складских проектов,АП.3.2.5
АП.3.2.5,Управление автоматизации логистических процессов,АП.3.2
АП.3.2.12,Управление автоматизации процессов коммерческой деятельности,АП.3.2
АП.3.2.1.3,Группа бизнес-анализа процессов электронной коммерции,АП.3.2.1
АП.3.2.1.1,Отдел разработки систем электронной коммерции,АП.3.2.1
АП.3.2.1.2,Отдел сопровождения систем электронной коммерции,АП.3.2.1
АП.3.2.1,Управление автоматизации процессов электронной коммерции,АП.3.2
АП.3.2.2.1.1,Группа разработки,АП.3.2.2.1
АП.3.2.2.1,Отдел автоматизации процессов внешне-экономической деятельности,АП.3.2.2
АП.3.2.2.2,Отдел автоматизации процессов по работе с клиентами,АП.3.2.2
АП.3.2.2.3,Отдел автоматизации розничных процессов,АП.3.2.2
АП.3.2.2.4.1,Группа разработки,АП.3.2.2.4
АП.3.2.2.4,Отдел автоматизации учетных процессов,АП.3.2.2
АП.3.2.2.5.1,Группа автоматизации бизнес-процессов,АП.3.2.2.5
АП.3.2.2.5.3,Группа веб-разработки,АП.3.2.2.5
АП.3.2.2.5.2,Группа мобильной разработки,АП.3.2.2.5
АП.3.2.2.5,Отдел автоматизации ювелирно-часовой деятельности,АП.3.2.2
АП.3.2.2,Управление по разработке и внедрению систем управления предприятием,АП.3.2
АП.3.2.4.1,Отдел IT сервисов и клиентского ПО,АП.3.2.4
АП.3.2.4.2.1,Группа сопровождения продаж,АП.3.2.4.2
АП.3.2.1.4,Группа сопровождения электронной коммерции,АП.3.2.1
АП.3.2.4.2,Отдел консультирования заказчика,АП.3.2.4
АП.3.2.13,Управление разработки платформы данных,АП.3.2
АП.3.2.3.1,Отдел администрирования бизнес-систем,АП.3.2.3
АП.3.2.3.4,Отдел администрирования и проектов ЦУМ,АП.3.2.3
АП.3.2.3.5,Отдел аудиовидео систем,АП.3.2.3
АП.3.2.3.2,Отдел системного администрирования,АП.3.2.3
АП.3.2.3.6,Отдел СКС,АП.3.2.3
АП.3.2.3.7,Отдел технической поддержки Барвиха,АП.3.2.3
АП.3.2.3.13,Отдел технической поддержки Гостиница,АП.3.2.3
АП.3.2.3.8,Отдел технической поддержки Коптево-Белый Раст,АП.3.2.3
АП.3.2.3.9,Отдел технической поддержки Славянская,АП.3.2.3
АП.3.2.3.3,Отдел технической поддержки СПб,АП.3.2.3
АП.3.2.3.10,Отдел технической поддержки ТДМ,АП.3.2.3
АП.3.2.3.11,Отдел технической поддержки Третьяковский проезд,АП.3.2.3
АП.3.2.3.12,Отдел технической поддержки Удаленных объектов,АП.3.2.3
АП.3.2.3,Управление функционирования информационной инфраструктуры,АП.3.2
